timestamp,userid,touch_event_type,touch_x,touch_y,touch_pressure,touch_size,orientation,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z
1399073508849,186676,0,192.0,1474.0,1.0,0.019607844,0,-2.0548236,1.3383588,8.616732,-0.06291912,0.02565634,-0.055588737
1399073508881,186676,2,192.0,1474.0,1.0,0.023529414,0,-2.123657,1.2162545,9.1255,0.42455134,0.02565634,0.13744467
1399073508895,186676,2,197.36932,1457.0497,1.0,0.025490198,0,-2.0123265,1.2024878,9.423578,0.27885997,-0.23579398,0.15241088
1399073508911,186676,2,203.52713,1430.1279,1.0,0.021568628,0,-1.8243817,1.3401544,9.510367,-0.4260785,-0.15699236,-0.14294247
1399073508928,186676,2,204.91579,1400.5999,1.0,0.023529414,0,-1.6340426,1.4449008,9.240421,-0.5561928,0.023518313,-0.38698313
1399073508969,186676,2,203.00479,1364.0431,1.0,0.023529414,0,-1.4556746,1.4969746,8.737639,-0.07238753,-0.56596667,-0.2593123
1399073508996,186676,2,197.84566,1340.4598,1.0,0.025490198,0,-1.2898762,1.5981296,8.152855,-0.15790866,-0.9923506,-0.28252518
1399073509022,186676,2,194.77087,1331.3126,1.0,0.025490198,0,-1.2725182,1.714847,7.7440453,-0.1591304,-0.93218035,-0.2855795
1399073509032,186676,2,192.87862,1321.1504,1.0,0.027450982,0,-1.3371617,1.6633717,7.5483193,-0.053450707,-0.9309586,-0.22937989
1399073509048,186676,2,189.6279,1312.5697,1.0,0.027450982,0,-1.3754689,1.5502456,7.475296,0.118507855,-0.8933904,-0.09560041
1399073509065,186676,2,186.55402,1304.885,1.0,0.025490198,0,-1.2808979,1.5897499,7.5944076,0.23732115,-0.8127562,0.035430185
1399073509083,186676,2,183.4822,1294.6876,1.0,0.025490198,0,-1.0702082,1.785476,7.825448,0.42913285,-0.71868294,0.22296582
1399073509101,186676,2,180.7057,1282.94,1.0,0.023529414,0,-0.85473,1.9746178,7.9852614,0.7339546,-0.5510005,0.5015204
1399073509115,186676,2,178.34174,1273.0253,1.0,0.025490198,0,-0.23403321,2.0931308,7.6985555,0.904386,-0.26206118,0.6542367
1399073509135,186676,2,176.07504,1266.2251,1.0,0.025490198,0,-0.093972415,2.5181017,7.86196,1.2235631,-0.09896017,0.93034774
1399073509151,186676,2,173.17514,1255.5254,1.0,0.027450982,0,-0.26874915,2.4762032,7.9595237,1.3429873,0.17165314,1.0283916
1399073509165,186676,2,171.54727,1246.2837,1.0,0.027450982,0,-0.6781576,2.296638,8.081029,1.074512,0.30207285,0.82650065
1399073509183,186676,2,170.01086,1238.0543,1.0,0.025490198,0,-1.0217255,2.171541,8.380903,0.8390234,0.2507602,0.68966687
1399073509200,186676,2,168.47125,1231.885,1.0,0.025490198,0,-1.2348095,2.1817162,8.945934,0.6795876,0.15515977,0.67164636
1399073509215,186676,2,166.93167,1225.7267,1.0,0.027450982,0,-1.2635399,2.268506,9.85633,0.5006041,0.10598512,0.63621616
1399073509232,186676,2,164.78438,1219.5687,1.0,0.025490198,0,-0.76434886,2.658761,10.805033,0.38637227,0.09162979,0.57971114
1399073509250,186676,2,162.85544,1212.2772,1.0,0.027450982,0,0.5057751,3.8642416,11.540052,0.39614612,0.11636983,0.47525316
1399073509265,186676,2,161.3197,1204.5985,1.0,0.027450982,0,1.6274586,5.3145294,11.85489,0.52320606,0.10293079,0.28802297
1399073509284,186676,2,158.55838,1196.896,1.0,0.027450982,0,1.5412674,5.8107276,11.465832,0.6759224,-0.06291912,0.07819075
1399073509298,186676,2,155.47923,1189.9585,1.0,0.029411767,0,0.5530606,5.365406,10.766725,0.71776664,-0.3659083,0.003970624
1399073509317,186676,2,153.7029,1182.8116,1.0,0.029411767,0,-0.87807345,4.371214,9.941922,0.655153,-0.5170974,-0.026572637
1399073509332,186676,2,152.16382,1176.6553,1.0,0.029411767,0,-1.7489643,3.9025488,9.696517,0.36102137,-0.7067711,0.112399206
1399073509350,186676,2,150.6238,1170.4951,1.0,0.029411767,0,-2.2840683,3.6056678,10.257957,-0.13500121,-0.6872234,0.32528573
1399073509364,186676,2,149.08421,1165.2527,1.0,0.027450982,0,-2.9418752,2.914342,11.613075,-0.73914695,-0.4615087,0.5164866
1399073509384,186676,2,148.0,1160.634,1.0,0.027450982,0,-3.4422636,2.1984756,13.650541,-1.2815952,-0.06627888,0.6719518
1399073509399,186676,2,147.00519,1156.0156,1.0,0.027450982,0,-3.755904,1.5879543,15.327081,-1.5717562,0.4089743,0.8054258
1399073509420,186676,2,145.46861,1151.4059,1.0,0.027450982,0,-3.743933,1.4239515,16.160862,-1.5515977,0.84696466,0.9034697
1399073509434,186676,2,144.24263,1147.7279,1.0,0.027450982,0,-3.4644098,1.5580268,16.17403,-1.244027,1.0919216,0.9288206
1399073509447,186676,2,143.38757,1142.1627,1.0,0.027450982,0,-2.9741971,1.8183962,15.373169,-0.7724391,1.0235047,0.8491027
1399073509466,186676,2,143.0,1137.7035,1.0,0.027450982,0,-2.3570917,2.1823149,13.978547,-0.30176744,0.6585127,0.6780604
1399073509493,186676,2,143.0,1134.6205,1.0,0.027450982,0,-1.0666169,2.9299042,10.706271,0.03390302,0.12064589,0.46944994
1399073509511,186676,2,143.0,1129.2311,1.0,0.027450982,0,-0.6051345,3.2082303,9.235035,0.12156218,-0.3744604,0.3744604
1399073509527,186676,2,143.0,1127.6917,1.0,0.025490198,0,-0.024540568,3.6032736,8.186374,0.12705997,-0.5488624,0.24190263
1399073509544,186676,2,143.0,1126.1544,1.0,0.027450982,0,0.33039984,3.6703112,7.6865845,-0.043676864,-0.7144069,0.18081611
1399073509561,186676,2,141.61528,1124.6152,1.0,0.025490198,0,0.37828386,3.5661635,7.736264,-0.26389378,-0.64934975,0.18020524
1399073509577,186676,2,142.0,1123.0729,1.0,0.025490198,0,0.4985925,3.448249,7.8727336,-0.42271876,-0.41508293,0.23640485
1399073509594,186676,2,142.0,1121.5363,1.0,0.025490198,0,0.37708676,3.4913447,8.007407,-0.4813618,-0.06169739,0.33322698
1399073509611,186676,2,140.0051,1120.0051,1.0,0.025490198,0,0.14903906,3.376423,7.963713,-0.42943826,0.33017266,0.42271876
